"publishedDate","lang","publishedPlatform","title","locationId","travelDate","tripType","rating","text"
"2024-08-02","en","OTHER","Bad experience","9593555","2024-08","FRIENDS","1","We are tourists from Romania .Yesterday together with my friends we visited Zaxi restaurant . Unfortunately we had a very bad experience with them. We were invited to stay at a table for a birthday party but we were not allowed to come in spite of the fact we had a present for a special person . We stayed at the bar counter with no permission to come in during two hours . We found it very impolite and we are deeply wounded by such an attitude. Especially we didn’t like the behavior of the administration."
"2024-01-19","en","MOBILE","The best in town.","9593555","2023-12","COUPLES","5","Zaxi at Radisson Leogrand in Chișinău, Moldova, stands out as the city's premier dining experience. With its exquisite interior design, top-notch service, and delectable cuisine, Zaxi offers a feast for the senses. The ambiance captivates guests, creating a perfect setting for memorable moments. The attentive staff ensures a dining experience at the pinnacle of hospitality. Zaxi's menu boasts a fusion of quality ingredients, expertly crafted to deliver flavors that delight the palate. From the elegant decor to the mouthwatering dishes, Zaxi at Radisson Leogrand is a culinary gem in Chișinău, embodying excellence in every aspect. An unforgettable destination for discerning diners."
"2023-10-04","en","OTHER","Long story short. It wasn’t my first time at Zaxi, but it will definitely be my last time there.","9593555","2023-09","COUPLES","1","Long story short. It wasn’t my first time at Zaxi, but it will definitely be my last time there. Overpriced check for a totally awful service. 
Think twice if you want to leave your money there. 
1. First things first - it’s unacceptable that in a place that considers itself a fine dining place, situated on the roof of the Radisson Hotel, where many visitors are tourists and people that doesn’t speak Romanian,  the stuff doesn’t speak English or speaks at a very low level. Unacceptable. 
2. We’ve started nice (2 persons table), at the terrace, but the music was CRAZY loud, we couldn’t hear each other at all. They didn’t want to decrease a bit the volume of the box that was oriented straight in front of us, so the stuff offered to change for a table at the restaurant, where the music was quieter. We were ok with that, we didn’t want to ruin a very special night. A reminder though - it’s not a night club, it is a restaurant, where people are supposed to eat, enjoy the view and have a nice conversation. But the feeling was that we are in the loudest night club. 
3. At the restaurant the very young waiters at the beginning seemed ok. But they definitely have a huge lack of experience, which in such a place for such money is inadmissible. 
You should know which wine you have and which not - he came twice to tell me that the wine I want isn’t available anymore (for 2 different wines). But ok, I still didn’t want to complain at that moment. 
4. And now comes the show, the mind-blowing part. 
The appetizers were great (we’ve ordered 3) and then we realized that maybe the main course was too much, so we asked if it’s possible to change for a smaller stake (for my boyfriend) - the waiter came back telling that it is not possible because they are already preparing it and in 5 minutes it will be ready. ( at that moment we have already finished  the appetizers for about 10-15 minutes).
We’ve been waiting for more than 20 minutes for the main course, without the table to be cleaned of the empty plates. And I need to point out that the restaurant was MAX half full. There weren’t so many people. 
The waiter avoided us because he knew we would complain. 
After waiting more, we started to get a little pissed off, because you can’t say 5 minutes and then let us wait more than half an hour without ANY explanations. And we are not even picky, because probably other people in that situation would demand to cancel the order. You can’t just so easily fool around a client that gives you profit. It’s UNPROFESSIONAL. 
5. The steak finally came, only that it came with the wrong Japanese sauce. It came with an extremely hot side-sauce, a thing it’s totally wrong for that steak - my boyfriend knows very well the Japanese cuisine, and also in the menu it was not specified that sauce - it was specified a normal sesame sauce. SHAME ON YOU, ZAXI. Again! 
6. At that point I couldn’t even eat my salmon, because I’ve completely lost my appetite, was really angry and shocked  on how the restaurant team managed the situation - meaning doing nothing and just passing further. 
7. They didn’t asked me what’s wrong, seeing I didn’t eat the salmon. At that point all I wanted is to leave as soon as possible that place. I just asked to prepare the salmon for take out (which in the end has gotten to a poor person on the street that enjoyed it for sure. At least something good happened that night). 
8. And now prepare for the climax of the movie (because it felt like a comedy  were we were filmed without knowing it).  In that tension situation, the waiter (probably being advised by the manager) brought as the menu asking me to choose a dessert - as a sorry for the awful situation that we’ve been put through. Ok, I didn’t want anything, but my boyfriend decided he will have a look, why not. 
So, we were looking in the menu, and after some minutes the waiter comes with a bag saying that the chef already prepared a dessert for me and it is in that bag ( a ,,to go” bag!!!!!) UNBELIEVABLE! My boyfriend at that moment was completely shocked. He got really angry, while I was so mesmerized that I couldn’t say anything. So first you give us the menu to choose, and then you come back already with the dessert.  
9. The manager came to us to explain the whole situation with the steak - that the 5 minutes situation it was about the steak being out of the freezer and not about being already cooked. Again, too late, that information we needed an hour ago, not when it’s paycheck moment. 
9. The only nice part, but too late - the nice lady (I don’t think she is a waitress) that did came to us to check us out, she felt really sorry for our experience and offered nicely a special shot. The show was good, really good, but again - too late. You can’t save anymore that night. It is ruined. 
Honestly, it was the most awful experience that I’ve ever had at a restaurant. We did leave a good quantity of money that will always remind us of how bad you can be treated and even pay for it! 
Zaxi, shame on you.
"
"2023-08-10","en","OTHER","Unforgettable fine dining experience!","9593555","2023-08","FRIENDS","5","Had an absolutely incredible dinner experience! From the moment we walked in, the ambiance was charming and inviting. The service was impeccable, with attentive staff who anticipated our needs. The menu offered an impressive range of exquisite dishes that were not only beautifully presented but also burst with amazing flavors. "
"2023-08-10","en","OTHER","Avoid this Restaurant !!!!","9593555","2023-08","FRIENDS","1","The Lady who served us was arrogant, without respect for the customer. I don't understand how people like that can serve customers in such a luxury restaurant."
"2023-07-18","en","OTHER","Avoid this restaurant.","9593555","2023-07","COUPLES","1","We are very much disappointed with this restaurant. Service was very slow. Staff was arrogant. Our order came exactly after one hour. There were hardly any clients in restaurant. Food was passable and highly expensive. "
"2023-06-24","en","OTHER","No food, no drinks in one hour after ordering","9593555","2023-05","BUSINESS","1","No food, no drinks in one hour after ordering. Went to find out what's going on, got a reply that the bar is closed. Why then taking the order?
00:00"
"2023-04-27","en","MOBILE","Tasty space with cool city view and supportive staff","9593555","2023-04","BUSINESS","5","Awesome space for city view, lounge music and extremely tasty stakes!  Host Anastasiya was also very friendly supporting the choice!"
"2022-10-29","en","MOBILE","Amazing music and food","9593555","2022-10","FRIENDS","5","Great hospitality , food and music .. I always join the weekend vibes and today was great music performed by @andreea portarescu music and hope to listen to her up at zaxi terrace"
"2022-09-12","en","OTHER","Annoying waiting time","9593555","2022-09","NONE","3","Very nice and modern restaurant located on 8th floor, meaning a great view from almost all tables.
The kitchen is clearly the Zaxi's bottleneck: Even though the restaurant was only one-third full, I had to wait for almost an hour to get my steak.
If only the food had been worth waiting for, but it wasn't: The steak was actually mediocre and rather bland.
Prices are extremely high for Chisinau, and the food does not live up to the price level at all.
I was not allowed to taste the wine before deciding, this is not OK for a restaurant of this standard.
I visited Zaxi on a Friday evening with DJ and later live music, which in both cases was much too loud: You were not able to have a normal conversation.
Staff was very diligent and attentive; it was certainly not their fault that serving was so slow."
"2022-05-21","ru","OTHER","Администратор не понимает как общаться с людьми","9593555","2022-05","FRIENDS","2","Администратор парень террасы zaxi , не смог объяснить, почему нет мест при свободных столиках, а также разделил людей на тех кому можно курить, а кому нельзя🤦‍♀️. Четко дал понять, что есть гости, которые могут купить в некурящей зоне. 🙄
Коммуникации на уровне 0. Общая атмосфера - неплохо, но при таком приветствии персонала, уже не хочется рекомендовать."
"2021-11-27","en","OTHER","Amazing Food & Amazing Views","9593555","2021-11","NONE","5","This restaurant without doubt is one of the best places I have eaten at. Based at the top of the Incredible Raddison Blu Hotel in Chisinau, this place is a gem. We had 3 course dinners, 3 cocktails, and it came to an amazing price of about £40 each, if you wanted to spend a bit more as a British guy you could really have it off there for a good price. Bottles Service is great, the Sushi & Steaks are fantastic. I would go as far to say I would fly back to Chisinau just for 2/3 days to visit this resturant. Food is served in good time, hot, and with plenty of taste."
"2021-11-27","en","MOBILE","Ultra slow service and poor compensation","9593555","2021-11","COUPLES","1","We ordered two courses and wine. The wine was slow and two starters (soups) came after 1hr 20m or greater. My mains come after two hours and the gf got ZERO mains so we asked for the bill. They simply reduced ten percent from food and drink, and offered no free dessert. They claimed a kitchen fire caused this, not that we smelt anything and the birthday meal sucked. Even the food which came was not ultra great."
"2021-11-13","ru","OTHER","Zaxi is this really the best restaurant?","9593555","2021-11","NONE","4","Zaxi - считается одним из лучших Ресторанов Кишинева, по этому не сходить, мы не могли. Приветствие холодное, Хостес - сразу не успели войти, хотя мы жили в данном отеле о чем она знала, сразу с порога покажите Тест или Сертификат в отель без этого не заселяют. Cам Ресторан на текущий момент Закрыт, работает только Терраса с обогревательной системой, Вид с Терассы хороший, оформление заведения достойное, мебель и посуда на уровне. По меню выбор достойный, бар тоже есть из чего выбрать. Подача блюд занимает время, ожидания своего заказа вам ничего не приносят и сидишь за пустым столом минут 20-30. Официанты бегают туда сюда как ужаленные, видимо кухня внизу, приходится бегать. Кухня очень средняя азиатская оставляет желать лучшего. Вкусное было только горячее рыба. Цены адекватные, Десерты вообще одни из худших, что приходилось есть за неделю в Кишиневе. Персонал в целом слабый для такого заведения, Хостес как обычно о себе завышенного мнения. Оставил неоднозначное впечатление."
"2021-11-06","en","OTHER","Club Zaxi","9593555","2021-11","SOLO","5","Expensive for Moldova but the staff is awesome and more than compensates for the price. The view of lovely women including the hostess is worth the price anyday."
"2021-10-14","fr","MOBILE","Catastrophe","9593555","2021-10","FAMILY","1","Plats reçus séparément jusqu’à 1 heure de différence entre les différents convives. L’équipe dirigeante est largement incompétente, bien en deçà de leur prétention et tarifs"
"2024-10-12","ru","MOBILE","Хамское отношение.","12794044","2024-10","FAMILY","1","Заказали столик. Задержались на полчаса, никто не позвонил и не уведомил, посадили других людей. Хамское отношение персонала. Отчитывал за опоздание. Не рекомендую."
"2024-10-08","en","MOBILE","Mediocre food and unpleasant staff","12794044","2024-10","BUSINESS","3","The staff was either rude or mildly dismissive, and the food was mostly mediocre. Not bad, but would not recommend or go back. Well, the khachapuri was actually quite bad."
"2024-07-29","ru","MOBILE","Хинкали!","12794044","2024-07","FRIENDS","1","Мы пришли с компании голодных друзей, закали еды, нас предложили о том что нужно подождать, но не сказали точное время.
По итогу мы ждали одну часть еды один час, а три несчастных хинкали ещё один час и 23мин 51 секунда. Я засекла! 
Сумарно мы ждали еду в понедельник вечером 20.07.2024 2 часа 23мин 51 секунд.
С ума сошли! 
Но было вкусно, и официант был вежливым."
"2024-07-08","ru","OTHER","Замечательный ужин.","12794044","2024-07","FAMILY","5","Детям (8,12,16,20 лет) понравилась еда .
Вкусно , умерено приправы и есть возможность наслаждаться грузинской кухней. 
Рядом детская площадка . Летом на террасе - есть прохлада, комфортно ."
"2024-05-01","en","MOBILE","Not worth it today. Was good before few years.","12794044","2024-05","FAMILY","3","Its ok. but cheap meat. They are trying to save money on it. not worth it today. There is more places with better and clean tables and not restroom beside of your table."
"2024-04-10","en","MOBILE","Georgian food is always good","12794044","2024-04","COUPLES","4","Having lived in Georgia for years and years, we are picky with the food. We tried the kubdari (right taste but a lot of dough), the Racha lobio with smoked ham (excellent) and a few other dishes. All tasty, but some more genuine than others."
"2024-03-12","fr","OTHER","Excellente adresse","12794044","2023-10","FAMILY","5","En voyage avec mo fils en Moldavie, nous avons découvert ce restaurant à la cuisine traditionnelle géorgienne. C'était tellement bon que nous y sommes retournés trois fois en une semaine!
Les khinkali sont absolument délicieux!!!
Une excellente adresse!"
"2023-11-03","en","MOBILE","Loved it and ordered too much food, we left very satisfied and full. Glad we had to walk home, burn some calories…","12794044","2023-10","FAMILY","4","Great place, they have outside and two indoor rooms for dining. Overall, plenty of food was ordered, attentive waiter who spoke English well. We had 4 people company, it took awhile to be seated - reservation is recommended for dinner on weekends. We had a lot to eat and to take home. I would come back for sure.
4 out 5 because we did not try dessert."
"2023-06-26","ru","OTHER","Вкусно и недорого ","12794044","2023-06","BUSINESS","5","Заказали в этом ресторане полный обед: первые и вторые блюда, а также очень вкусный безалкогольный прохладительный напиток. Вкусно, качественно, порции среднего размера, но не маленькие, быстрое и вежливое обслуживания. Цены невысокие, особенно с учетом того, что это грузинская кухня, которая не самая дешевая, и расположения на главной улице города. Не разделяю критичных замечаний в отзывах, нам понравилось. "
"2023-05-15","en","MOBILE","A great dining experience","12794044","2023-05","FRIENDS","5","For really excellent Georgian food we would all recommend this place. Every dish was excellent, the wine was superb and service relatively decent. Prices were amazing. A great meal and evening out. There are three of these restaurants in Chisinau and we went to the newest one."
"2023-04-10","en","MOBILE","Exellent Georgisn food","12794044","2023-04","FAMILY","5","Exellent Georgisn food. Food was so good and vedgetables fresh and tasty. Good vine and exellent servise.
I highly recommend."
"2023-03-25","ru","OTHER","Отвратительно приготовленная еда, даже едой назвать нельзя, просто помои(((","12794044","2023-03","SOLO","1","Моя самая любимая кухня… была до сегодняшнего дня!!!
Обычно заказывала на рышкановке, сегодня ближе было в центре заказать, сплошное разочарование, хачапури соленый на столько, что невозможно есть, бульон с хинкали вообще помои, как будто помыли кастрюлю после варки хинкали и полили каким то вонючим жиром, просто отвратительный вкус, а чебуреки, тоже удивили, жир стекает прямо по руке, само тесто все в масле, невозможно даже это все есть, я очень шокирована, все полетело в помойку, не понимаю, как может быть такая огромная разница между ресторанами, разочарование и злость, это самая ужасная еда, для меня лично это место в черном списке!!!"
"2023-03-07","ru","MOBILE","Самый безпардонный и самый отвратительный сервис во всём Кишинёве!","12794044","2023-03","FAMILY","1","Сразу скажу - к качеству еды притензий нет т.к. мы в этом ресторане не ели. Мы зашли в ресторан и нас никто не встретил. Через пару минут, подошёл парень и сказал что то не внятно по поводу мест. Потом один мужчина из персонала выкрикнул в наш адрес что мест нет. Мы спросили  "" НАМ УЙТИ?"" На что нам сказали что нет, места есть. Посадили за не убраный и грязный стол, за которым мы сидели примерно 5 минут. На просьбу убрать стол, не было никакой адекватной реакции.... Мы встали и ушли. Вот такой вот ресторан...
О таком отношении к своим гостям, говорит многое. Если вы не хотите испортить себе настроение, лучше обойдите это заведение стороной."
"2023-03-06","en","MOBILE","Very good restaurant","12794044","2023-03","FRIENDS","5","Excellent food , a lot of choices 
Fast and efficient service
Kinkhali wonderful
Easy to find,  very big restaurant no booking needed"
"2023-02-13","en","OTHER","Delicious food, horrible service","12794044","2023-02","COUPLES","1","The food was great and really tasty, but all the experience was ruined by a very rude waiter, that was really unpleasant with us since the beginning. He acted all the time as of he had something against us and only waited for our reaction, in order to snap. At the beginning, when we kindly told him that we were ready to order, he answered very unpolitely, telling us that he already knew that we were ready but he was busy. He was rude when I tried to pronounce the correct name of the food, ordering me to show them on the menu instead. The worst had yet to come. The moment we had to pay, I told him that I would pay with the card, and he suddenly answered with a sarcastic ""koneshno"", which means ""of course""... And then, with the same malign, he began taunting us by repetedly asking (both in russian and in english) ""did you forget anything? Did you forget anything?! The phone? The food was good?! The service was good??"" We were really bewildered, as we didn't understand what he meant. In the end we supposed that he was probably meaning that we should have given a tip, but he showed us the door and told us to go. This has been the worst experience in a restaurant that I ever had, and without a reason at all! I don't want to go back there anymore, and it really is a shame, because the food was delicious.

Food 5/5
Service 0/5"
"2022-12-10","ru","MOBILE","Уже который раз сплошное разочарование!!!","12794044","2022-12","FAMILY","1","Раньше с удовольствием посещала с друзьями данный ресторан, часто с семьей делали заказы на дом, всегда было очень вкусно и все свежее! 
Был прецедент с доставкой ранее: заказывали мясное блюдо, привезли кости жаренные на сковороде, попыталась с менеджером на страничке в фейсе обсудить почему так,на что мне ответили, что это я нихера не понимаю и так и должно быть, тк данное боюдо рассчитано под пиво!!сегодня вообще мясное блюдо просто хрючево( оооч несвежие куриные крылья в ужасной панировке и ребра свиные примерно с таким же посылом, десерт трубочки со сгущенкой вроде как ничего пока не распробовала орехи( которыми посыпаны трубочки), старые и горькие!!!!"
"2022-10-18","ru","MOBILE","Полное разочарование","12794044","2022-10","FAMILY","2","Вчера 18.10 были в Saheravi в центре, предложила родителям встретиться и сходить туда, поскольку ваше заведение всегда радовало качеством еды и обслуживанием. К сожалению вчера было полное разочарование, заказали плато с шашлыком, в котором оказалась ужасно пересушенная картошка, под мясом и овощами мы нашли волос, позвали официантку попросили рассчитать нас и спокойно показали на волос, плато на котором еще оставались овощи и мясо унесли и извинились, из счета его не убрали, скидки не сделали, поменять блюдо не предложили, несерьезное отношение к ситуации, мало ли что еще могло попасть в еду, которую мы ели. Ужасно..."
"2022-10-09","ru","MOBILE","В блюде был кусок резинки ","12794044","2022-10","FRIENDS","1","Попалась в блюде резинка ,кроме удивления описать это не могу. Попросил менеджера или директора ,сказали что никого нет. Пытаюсь найти слова для этого ,но даже не знаю как это описать,когда твоя жена жуёт и не понимает ,что оказалось это не еда а кусок резины.заказывали чирбули в нем попался инородный предмет"
"2022-09-18","en","OTHER","Solid Georgian cuisine","12794044","2022-09","NONE","4","I’ve eaten at Saperavi twice during my time in Chișinău, sampling dumpling soup, lamb ribs and backs on bread, veal stew and minced lamb pies.  The pies are very greasy so beware.  The food is very good and reasonably priced.  You can enjoy a very filling and tasty meal for less than US$ 15.  There are two outlets for the restaurant in Chișinău with identical menus.  If you’ve never sampled Georgian food, give it a try as it’s quite different and enjoyable but also very meat-centric."
"2022-07-14","ru","MOBILE","Вкусная еда, отвратительное обслуживание","12794044","2022-07","COUPLES","3","Вкусная грузинская кухня. Очень любим их чебуреки с бараниной, вино и многое другое, но каждый раз приходится сталкиваться с ужасным обслуживанием. Пассивная агрессия - отличительна черта всего персонала."
"2024-08-06","de","MOBILE","In Ordnung. Mehr aber auch nicht.","23890224","2024-08","FRIENDS","3","Die Pizza (Meat Lover) war ok.  Mir persönlich war der Teig etwas zu weich.  Die Bedienung war sehr freundlich und wir konnten draußen sitzen."
"2024-08-06","de","MOBILE","Gutes Restaurant","23890224","2024-08","FRIENDS","4","Schneller Service, vernünftige Preise, leckeres Bier und Pizza (etwas zu fettig). Die Mitarbeiterin war sehr nett und hilfsbereit."
"2024-08-03","it","OTHER","fantastico","23890224","2024-08","FAMILY","5","vivo in italia e posso dire che è stata una delle pizze migliori della mia vita ingredienti di qualità e ottimo servizio posto che merita molto per una città come chişinău"
"2024-07-11","en","MOBILE","Love pizza","23890224","2024-06","FAMILY","5","Are you looking for the best pizza in Chisinau? Then you must try Little Napoli! This authentic Neapolitan pizzeria serves delicious pizza made with fresh, high-quality ingredients. With a welcoming atmosphere and friendly staff, Little Napoli is the perfect place to enjoy a delicious meal with friends or family."
